FREQ;GEO;UNIT;AID_INSTR\TIME_PERIOD;2000 ;2001 ;2002 ;2003 ;2004 ;2005 ;2006 ;2007 ;2008 ;2009 ;2010 ;2011 ;2012 ;2013 ;2014 ;2015 ;2016 ;2017 
A;AT;PC_TOT;GUAR;18.1 ;7.9 ;6.9 ;4.6 ;2.7 ;4 ;42 ;2.6 ;1.8 ;0.5 ;0.5 ;0.9 ;0.8 ;0.6 ;0.8 ;0.5 ;0.5 ;0.4 
A;BE;PC_TOT;GUAR;0.2 ;0.4 ;3.4 ;1 ;0.5 ;0.9 ;1 ;0.9 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 
A;BG;PC_TOT;GUAR;0 ;0 ;0 ;0.5 ;5.7 ;2.2 ;5.2 ;8.1 ;21.9 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 
A;CY;PC_TOT;GUAR;0.3 ;0 ;4 ;0 ;8.7 ;6.1 ;0 ;18.8 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 
A;CZ;PC_TOT;GUAR;70.3 ;67.7 ;82.7 ;80.9 ;7.4 ;4.1 ;4.3 ;6.7 ;1.9 ;8.6 ;12.1 ;1.3 ;1.3 ;0 ;0.3 ;0.1 ;0.8 ;0 
A;DE;PC_TOT;GUAR;4.3 ;6.1 ;25.9 ;2.4 ;1.4 ;0.8 ;0.8 ;0.8 ;0.4 ;9.4 ;11.6 ;12.3 ;12.4 ;10.7 ;4 ;0 ;0 ;0.1 
A;DK;PC_TOT;GUAR;0.4 ;0.1 ;0 ;0.6 ;0.1 ;0.3 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 
A;EE;PC_TOT;GUAR;0 ;12.5 ;17 ;23.1 ;22.7 ;12 ;9.2 ;7.6 ;2.6 ;0.9 ;0.1 ;0.2 ;0.5 ;0 ;0 ;0 ;0.3 ;0.1 
A;EL;PC_TOT;GUAR;17.1 ;18.8 ;8.4 ;0 ;0 ;0 ;12.7 ;7.7 ;29.1 ;35 ;53.1 ;66.3 ;77.8 ;71.9 ;62.8 ;74.8 ;0 ;0 
A;ES;PC_TOT;GUAR;0 ;0 ;0 ;0 ;0.2 ;0.1 ;0 ;0 ;0 ;0 ;0.7 ;0.5 ;0.3 ;0.9 ;0 ;0 ;1.3 ;0 
A;EU28;PC_TOT;GUAR;4.9 ;4.9 ;14 ;4.9 ;2 ;0.9 ;1.7 ;1 ;1.1 ;3.8 ;4.6 ;5.3 ;4.8 ;5.6 ;2.9 ;2 ;0.3 ;0.3 
A;FI;PC_TOT;GUAR;0.1 ;0.2 ;0 ;0.1 ;0 ;0.1 ;0.1 ;0.2 ;0.2 ;0 ;0.4 ;0.3 ;0.2 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 
A;FR;PC_TOT;GUAR;2.6 ;2.6 ;2.4 ;2.6 ;5.7 ;1 ;0.3 ;0.1 ;0.3 ;0.2 ;0.1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 
A;HR;PC_TOT;GUAR;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0.1 ;0 ;0.3 ;0 ;0 
A;HU;PC_TOT;GUAR;0 ;0 ;2.1 ;12.6 ;10.8 ;9.5 ;8.7 ;8.1 ;4.3 ;1.1 ;0 ;0 ;0 ;0.1 ;0.1 ;0 ;0 ;0 
A;IE;PC_TOT;GUAR;3.3 ;0.1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0.1 ;0.2 ;0.1 ;1.1 ;1.5 ;0 ;0 
